basis,method,registry,distance,energy,energy_err
bn,QMC,0.0,3.0,-164.83410387720454,0.0006768583864794
bn,QMC,0.0,3.2,-164.84684189989105,0.0005514807550353
bn,QMC,0.0,3.5,-164.85381585216254,0.0004739127365803
bn,QMC,0.0,3.7,-164.85350593551652,0.000425859609232
bn,QMC,0.0,4.0,-164.84937375003975,0.0005867627089476
bn,QMC,0.0,4.5,-164.84381488732984,0.0006542053909693
bn,QMC,0.0,5.5,-164.83870314207826,0.0004897336954172
bn,QMC,0.0,6.5,-164.8380910217658,0.0005341069132561
bn,QMC,0.16667,3.0,-164.84097983922294,0.0007991306869348
bn,QMC,0.16667,3.2,-164.85172310260032,0.0005179820090286
bn,QMC,0.16667,3.5,-164.85596163395434,0.00054396446783
bn,QMC,0.16667,3.7,-164.85245144412366,0.0004685979051326
bn,QMC,0.16667,4.0,-164.84920857705126,0.000677771300685
bn,QMC,0.16667,4.5,-164.84387195839955,0.0006097937417306
bn,QMC,0.16667,5.5,-164.8390799023334,0.0004850969048889
bn,QMC,0.16667,6.5,-164.83845817113058,0.0005443797769585
bn,QMC,0.16667,8.0,-164.837864031257,0.000415989921327
bn,QMC,0.33333,3.0,-164.85089993520154,0.0005339249918483
bn,QMC,0.33333,3.2,-164.85705321142817,0.0004769578411254
bn,QMC,0.33333,3.5,-164.85590252494654,0.0004652357823131
bn,QMC,0.33333,4.0,-164.84944122749664,0.0008926323647388
bn,QMC,0.33333,4.5,-164.84338747820095,0.000445528747043
bn,QMC,0.33333,5.5,-164.83911708061186,0.0006062330478392
bn,QMC,0.33333,6.5,-164.83860261237535,0.0004515231251938
bn,QMC,0.66667,3.0,-164.83101588112575,0.0006565152595769
bn,QMC,0.66667,3.2,-164.84780600404457,0.0005167555060416
bn,QMC,0.66667,3.5,-164.85262542400756,0.0004796385195214
bn,QMC,0.66667,4.0,-164.84830752333656,0.0004584892282733
bn,QMC,0.66667,4.5,-164.84434312528873,0.0004694302759965
bn,QMC,0.66667,5.5,-164.83868284167494,0.000566931505297
bn,QMC,0.66667,6.5,-164.8378976706571,0.0004173968178009
c2,DFT-D2,0.0,3.0,-154.90970278135342,0.0
c2,DFT-D2,0.0,3.2,-154.91444443314842,0.0
c2,DFT-D2,0.0,3.21,-154.91450371995262,0.0
c2,DFT-D2,0.0,3.22,-154.91454678196877,0.0
c2,DFT-D2,0.0,3.23,-154.9145745715953,0.0
c2,DFT-D2,0.0,3.24,-154.91458712284643,0.0
c2,DFT-D2,0.0,3.25,-154.9145838574803,0.0
c2,DFT-D2,0.0,3.26,-154.91456555782415,0.0
c2,DFT-D2,0.0,3.27,-154.91454035327916,0.0
c2,DFT-D2,0.0,3.28,-154.91451732564494,0.0
c2,DFT-D2,0.0,3.29,-154.9144886176342,0.0
c2,DFT-D2,0.0,3.3,-154.9144635151319,0.0
c2,DFT-D2,0.0,3.31,-154.9144331064096,0.0
c2,DFT-D2,0.0,3.32,-154.91439283356038,0.0
c2,DFT-D2,0.0,3.33,-154.91434102988694,0.0
c2,DFT-D2,0.0,3.34,-154.91427803553162,0.0
c2,DFT-D2,0.0,3.35,-154.91420497296394,0.0
c2,DFT-D2,0.0,3.36,-154.91412187619824,0.0
c2,DFT-D2,0.0,3.37,-154.9140278268502,0.0
c2,DFT-D2,0.0,3.38,-154.91392479774527,0.0
c2,DFT-D2,0.0,3.39,-154.91382176864033,0.0
c2,DFT-D2,0.0,3.4,-154.91372458998308,0.0
c2,DFT-D2,0.0,3.41,-154.9136269351266,0.0
c2,DFT-D2,0.0,3.42,-154.91353632121587,0.0
c2,DFT-D2,0.0,3.43,-154.91344291813823,0.0
c2,DFT-D2,0.0,3.44,-154.91334094347445,0.0
c2,DFT-D2,0.0,3.45,-154.91323063532414,0.0
c2,DFT-D2,0.0,3.46,-154.91311277601457,0.0
c2,DFT-D2,0.0,3.47,-154.91298831794427,0.0
c2,DFT-D2,0.0,3.48,-154.9128565128001,0.0
c2,DFT-D2,0.0,3.49,-154.91271688438286,0.0
c2,DFT-D2,0.0,3.5,-154.91257215383104,0.0
c2,DFT-D2,0.0,3.51,-154.9124336478834,0.0
c2,DFT-D2,0.0,3.52,-154.9123005501985,0.0
c2,DFT-D2,0.0,3.53,-154.91217167027818,0.0
c2,DFT-D2,0.0,3.54,-154.91205054560248,0.0
c2,DFT-D2,0.0,3.55,-154.91192615556062,0.0
c2,DFT-D2,0.0,3.56,-154.91179489464415,0.0
c2,DFT-D2,0.0,3.57,-154.91165761320886,0.0
c2,DFT-D2,0.0,3.58,-154.91151502555357,0.0
c2,DFT-D2,0.0,3.59,-154.91136723372094,0.0
c2,DFT-D2,0.0,3.6,-154.9112135234122,0.0
c2,DFT-D2,0.0,3.61,-154.91105284018613,0.0
c2,DFT-D2,0.0,3.62,-154.91089205491738,0.0
c2,DFT-D2,0.0,3.63,-154.91074123581822,0.0
c2,DFT-D2,0.0,3.64,-154.91059436236984,0.0
c2,DFT-D2,0.0,3.65,-154.91045602649336,0.0
c2,DFT-D2,0.0,3.66,-154.91032371113576,0.0
c2,DFT-D2,0.0,3.67,-154.9101882324547,0.0
c2,DFT-D2,0.0,3.68,-154.91004635909823,0.0
c2,DFT-D2,0.0,3.69,-154.90989979177797,0.0
c2,DFT-D2,0.0,3.7,-154.90974914274992,0.0
c2,DFT-D2,0.0,3.71,-154.9095941058862,0.0
c2,DFT-D2,0.0,3.72,-154.9094338648451,0.0
c2,DFT-D2,0.0,3.73,-154.90926896385443,0.0
c2,DFT-D2,0.0,3.74,-154.909107192173,0.0
c2,DFT-D2,0.0,3.75,-154.90895647511653,0.0
c2,DFT-D2,0.0,3.76,-154.90880932955432,0.0
c2,DFT-D2,0.0,3.77,-154.90867334065976,0.0
c2,DFT-D2,0.0,3.78,-154.9085406171314,0.0
c2,DFT-D2,0.0,3.79,-154.90840350576724,0.0
c2,DFT-D2,0.0,3.8,-154.90826159839654,0.0
c2,DFT-D2,0.0,4.0,-154.90539617156972,0.0
c2,DFT-D2,0.0,4.5,-154.89986158002745,0.0
c2,DFT-D2,0.0,5.0,-154.896279371316,0.0
c2,DFT-D2,0.0,6.0,-154.89275366024185,0.0
c2,DFT-D2,0.0,7.0,-154.8916151359102,0.0
c2,DFT-D2,0.16667,3.0,-154.9068352456443,0.0
c2,DFT-D2,0.16667,3.2,-154.91306464587808,0.0
c2,DFT-D2,0.16667,3.21,-154.9131686613957,0.0
c2,DFT-D2,0.16667,3.22,-154.9132564861395,0.0
c2,DFT-D2,0.16667,3.23,-154.91332900447946,0.0
c2,DFT-D2,0.16667,3.24,-154.9133867946575,0.0
c2,DFT-D2,0.16667,3.25,-154.9134294825171,0.0
c2,DFT-D2,0.16667,3.26,-154.91345897285515,0.0
c2,DFT-D2,0.16667,3.27,-154.9134785990663,0.0
c2,DFT-D2,0.16667,3.28,-154.9134937694132,0.0
c2,DFT-D2,0.16667,3.29,-154.91350121852977,0.0
c2,DFT-D2,0.16667,3.3,-154.9135048240382,0.0
c2,DFT-D2,0.16667,3.31,-154.91350196684283,0.0
c2,DFT-D2,0.16667,3.32,-154.91348863326436,0.0
c2,DFT-D2,0.16667,3.33,-154.91346448316054,0.0
c2,DFT-D2,0.16667,3.34,-154.91343074104364,0.0
c2,DFT-D2,0.16667,3.35,-154.91338778107018,0.0
c2,DFT-D2,0.16667,3.36,-154.9133357733114,0.0
c2,DFT-D2,0.16667,3.37,-154.91327481980986,0.0
c2,DFT-D2,0.16667,3.38,-154.91320573690723,0.0
c2,DFT-D2,0.16667,3.39,-154.9131335927238,0.0
c2,DFT-D2,0.16667,3.4,-154.91306131248345,0.0
c2,DFT-D2,0.16667,3.41,-154.91298600497657,0.0
c2,DFT-D2,0.16667,3.42,-154.9129115818397,0.0
c2,DFT-D2,0.16667,3.43,-154.91283304298088,0.0
c2,DFT-D2,0.16667,3.44,-154.91274770127595,0.0
c2,DFT-D2,0.16667,3.45,-154.91265593088136,0.0
c2,DFT-D2,0.16667,3.46,-154.91255813996796,0.0
c2,DFT-D2,0.16667,3.47,-154.9124544305784,0.0
c2,DFT-D2,0.16667,3.48,-154.91234463264155,0.0
c2,DFT-D2,0.16667,3.49,-154.9122293243993,0.0
c2,DFT-D2,0.16667,3.5,-154.912109730364,0.0
c2,DFT-D2,0.16667,3.51,-154.91199166696904,0.0
c2,DFT-D2,0.16667,3.52,-154.9118750321718,0.0
c2,DFT-D2,0.16667,3.53,-154.91175894160227,0.0
c2,DFT-D2,0.16667,3.54,-154.91164564019965,0.0
c2,DFT-D2,0.16667,3.55,-154.91152866526008,0.0
c2,DFT-D2,0.16667,3.56,-154.91140832291168,0.0
c2,DFT-D2,0.16667,3.57,-154.91128304849985,0.0
c2,DFT-D2,0.16667,3.58,-154.91115386245144,0.0
c2,DFT-D2,0.16667,3.59,-154.91102090082347,0.0
c2,DFT-D2,0.16667,3.6,-154.91088406157314,0.0
c2,DFT-D2,0.16667,3.61,-154.91074324265784,0.0
c2,DFT-D2,0.16667,3.62,-154.91060109718754,0.0
c2,DFT-D2,0.16667,3.63,-154.9104633735672,0.0
c2,DFT-D2,0.16667,3.64,-154.91032711255886,0.0
c2,DFT-D2,0.16667,3.65,-154.91019469515854,0.0
c2,DFT-D2,0.16667,3.66,-154.91006482882554,0.0
c2,DFT-D2,0.16667,3.67,-154.90993244543947,0.0
c2,DFT-D2,0.16667,3.68,-154.90979669464454,0.0
c2,DFT-D2,0.16667,3.69,-154.90965801862575,0.0
c2,DFT-D2,0.16667,3.7,-154.90951675752547,0.0
c2,DFT-D2,0.16667,3.71,-154.90937280930092,0.0
c2,DFT-D2,0.16667,3.72,-154.9092259018383,0.0
c2,DFT-D2,0.16667,3.73,-154.90907630725147,0.0
c2,DFT-D2,0.16667,3.74,-154.90892814126232,0.0
c2,DFT-D2,0.16667,3.75,-154.90878551959278,0.0
c2,DFT-D2,0.16667,3.76,-154.90864466666326,0.0
c2,DFT-D2,0.16667,3.77,-154.908509460096,0.0
c2,DFT-D2,0.16667,3.78,-154.90837585219765,0.0
c2,DFT-D2,0.16667,3.79,-154.9082399653458,0.0
c2,DFT-D2,0.16667,3.8,-154.9081015954551,0.0
c2,DFT-D2,0.16667,4.0,-154.90534069435935,0.0
c2,DFT-D2,0.16667,4.5,-154.89985705613478,0.0
c2,DFT-D2,0.16667,5.0,-154.89628818100178,0.0
c2,DFT-D2,0.16667,6.0,-154.892773286453,0.0
c2,DFT-D2,0.16667,7.0,-154.89162935385863,0.0
c2,DFT-D2,0.5,3.0,-154.90044808740828,0.0
c2,DFT-D2,0.5,3.2,-154.90942784432627,0.0
c2,DFT-D2,0.5,3.21,-154.90964240609384,0.0
c2,DFT-D2,0.5,3.22,-154.90983557291028,0.0
c2,DFT-D2,0.5,3.23,-154.91000989584288,0.0
c2,DFT-D2,0.5,3.24,-154.91016585109085,0.0
c2,DFT-D2,0.5,3.25,-154.91030190801385,0.0
c2,DFT-D2,0.5,3.26,-154.9104203115511,0.0
c2,DFT-D2,0.5,3.27,-154.9105263679226,0.0
c2,DFT-D2,0.5,3.28,-154.9106302473833,0.0
c2,DFT-D2,0.5,3.29,-154.91072528314402,0.0
c2,DFT-D2,0.5,3.3,-154.9108186522074,0.0
c2,DFT-D2,0.5,3.31,-154.91090610279468,0.0
c2,DFT-D2,0.5,3.32,-154.91097862113463,0.0
c2,DFT-D2,0.5,3.33,-154.91103460855845,0.0
c2,DFT-D2,0.5,3.34,-154.91107777261726,0.0
c2,DFT-D2,0.5,3.35,-154.91110841943916,0.0
c2,DFT-D2,0.5,3.36,-154.91112607282494,0.0
c2,DFT-D2,0.5,3.37,-154.91113042664648,0.0
c2,DFT-D2,0.5,3.38,-154.9111227394303,0.0
c2,DFT-D2,0.5,3.39,-154.91111219501877,0.0
c2,DFT-D2,0.5,3.4,-154.91110375948955,0.0
c2,DFT-D2,0.5,3.41,-154.91109192253725,0.0
c2,DFT-D2,0.5,3.42,-154.91108294278033,0.0
c2,DFT-D2,0.5,3.43,-154.91106981328727,0.0
c2,DFT-D2,0.5,3.44,-154.91104549311228,0.0
c2,DFT-D2,0.5,3.45,-154.91101073056845,0.0
c2,DFT-D2,0.5,3.46,-154.91096668213962,0.0
c2,DFT-D2,0.5,3.47,-154.91091361993966,0.0
c2,DFT-D2,0.5,3.48,-154.91085120382624,0.0
c2,DFT-D2,0.5,3.49,-154.91077929774244,0.0
c2,DFT-D2,0.5,3.5,-154.91069997655632,0.0
c2,DFT-D2,0.5,3.51,-154.91062453299253,0.0
c2,DFT-D2,0.5,3.52,-154.91055221873793,0.0
c2,DFT-D2,0.5,3.53,-154.9104819453372,0.0
c2,DFT-D2,0.5,3.54,-154.91041663801417,0.0
